N,policy,threads,receivers,rate,traced,repeats,saturated,x,batch_n,batch_mean_us,batch_std_us,batch_min_us,batch_max_us,frame_n,frame_mean_us,frame_std_us,frame_min_us,frame_max_us,edf_miss_ratio,lost_records
2048,rr,6,3,5000000.0,True,3,False,0.5614678010910084,84642,239.7874908674181,104.56745526941563,98.142,2282.01,154404,427.12084219320735,206.47527369586584,182.505,6198.14,,8171716224
2048,rr,1,1,5000000.0,True,3,False,0.641884062531314,56146,142.79414351868346,71.84298456327899,91.683,1229.296,51468,308.4708906116422,125.38548737337642,168.975,997.284,,652560784
2048,rr,1,2,2500000.0,True,3,False,0.6564470236115296,76691,253.5605920772972,146.3691405142294,93.38,704.509,51468,374.20948684619566,264.3737186975305,170.486,1142.497,,538986375
2048,rr,6,2,10000000.0,True,3,False,0.7325342163940034,144633,375.8842743910449,427.1678065405637,114.662,5343.049,205866,597.4210220288926,604.6576831917548,179.716,13993.904,,6862381191
2048,rr,6,4,5000000.0,True,3,False,0.7460723875153877,145832,451.6594834124197,130.22490284499122,118.747,3578.338,205872,661.0251649811535,407.65081347806387,226.548,13727.944,,6806084864
2048,rr,2,3,2500000.0,True,3,False,0.7578570413340883,75072,305.17506030210996,114.00882162074407,108.079,1248.38,77202,700.2969034221911,425.57024244383933,303.649,7646.219,,1777189818
2048,rr,1,3,2500000.0,True,3,False,0.9524079092833334,219726,401124.3512406589,203353.80830057064,65687.889,798152.637,74694,38361.73363948911,867.3765398921578,35363.157,41942.619,,4303150
2048,rr,1,1,20000000.0,True,3,True,0.9713441727666666,205220,43440124.62848864,3296098.0213723085,37308337.081,49599793.114,77286,12496.777593872113,329.22371003756297,11681.394,14557.581,,40205054
2048,rr,1,1,10000000.0,True,3,True,0.9727660159166667,292971,10477384.976140643,1765726.9078337983,7381729.696,13743277.769,77637,12441.313562592579,315.631976025414,11673.214,14113.487,,40207933
2048,rr,6,3,10000000.0,True,3,True,0.9816553539562901,,,,,,274529,10440.524198095647,1020.4571249855117,3874.241,21352.941,,5919702366
2048,rr,2,2,5000000.0,True,3,False,0.9823778023597555,126230,346077.09855810826,209112.93185081927,116722.435,748239.54,101756,19017.108759208302,435.1233986305841,17777.002,25046.046,,1460672854
4096,edf,2,1,2500000.0,True,3,False,0.20591780896787207,15159,226.65040055412626,20.874054616559267,182.554,1486.034,25734,644.2334480453875,439.672886765406,371.294,2542.066,0.0,844553817
4096,edf,6,3,2500000.0,True,3,False,0.2792943976435491,25565,450.12873338548803,170.402032014216,211.47,6232.364,77202,832.0306144659465,699.9671401902389,257.539,27472.849,0.0,1177891414
4096,edf,1,1,2500000.0,True,3,False,0.32220551475963793,30691,341.38427092633015,115.13439245996479,185.194,750.56,25734,511.2240493510531,409.35901184178437,207.277,2169.453,0.0,266216685
4096,edf,2,1,5000000.0,True,3,False,0.4422315805082014,44892,225.59746819032344,16.65928723809518,181.265,1045.023,51468,573.7167693906894,216.66507747913678,354.282,1534.851,0.0,596793442
4096,edf,6,3,5000000.0,True,3,False,0.552849702247673,86109,471.9039605383874,132.66640724594225,212.519,1827.932,154404,798.7711045698297,505.8700710899817,288.32,18329.61,1.3062265205782926e-06,770109751
